ANIO,MESES,V_PAPEL,V_LIMPIEZA,TOTAL_VENTAS,TOTAL_VENTAS_SOLES
2019,Junio,232,200,432,23000.00
2019,Julio,356,298,654,24681.71
2019,Agosto,876,224,1100,55200.00
2019,Septiembre,495,592,1087,42831.02
2019,Octubre,300,321,621,29475.00
2019,Noviembre,316,234,550,23380.89
2019,Diciembre,94,455,549,25030.70
2020,Enero,301,349,650,36349.70
2020,Febrero,300,352,652,31670.58
2020,Marzo,650,450,1100,44626.70
2020,Abril,432,180,612,35555.00
2020,Mayo,300,355,655,35423.00
2020,Junio,450,506,956,30506.00
2020,Julio,550,550,1100,40202.00
2020,Agosto,405,550,955,45550.00
2020,Septiembre,895,295,1190,35000.00
2020,Octubre,715,223,938,35552.00
2020,Noviembre,514,238,752,35666.00
2020,Diciembre,550,400,950,36050.00
2021,Enero,317,387,704,41709.00
2021,Febrero,899,268,1167,45550.00
2021,Marzo,694,383,1077,39954.00
2021,Abril,650,200,850,40979.00
2021,Mayo,750,177,927,47833.00
2021,Junio,696,604,1300,49761.00
2021,Julio,695,486,1181,40720.00
2021,Agosto,320,314,634,39599.00
2021,Septiembre,650,200,850,35455.00
2021,Octubre,524,226,750,32000.00
2021,Noviembre,400,467,867,29293.00
2021,Diciembre,855,712,1567,60000.00
2022,Enero,345,77,422,26463.00
2022,Febrero,400,309,709,27633.00
2022,Marzo,350,259,609,17143.00
2022,Abril,412,105,517,17330.00
2022,Mayo,576,390,966,44182.00
2022,Junio,235,317,552,25567.00
2022,Julio,455,259,714,26973.00
2022,Agosto,500,255,755,31246.00
2022,Septiembre,650,205,855,30446.00
2022,Octubre,450,290,740,30417.00
2022,Noviembre,695,32,727,36886.00
2022,Diciembre,397,1603,2000,75000.00
2023,Enero,567,140,707,29869.00
2023,Febrero,230,266,496,25525.00
2023,Marzo,300,293,593,23260.00
2023,Abril,250,352,602,30349.00
2023,Mayo,445,309,754,32734.00
2023,Junio,375,375,750,32567.00
2023,Julio,278,461,739,30446.00
2023,Agosto,487,350,837,47502.00
2023,Septiembre,412,352,764,43583.00
2023,Octubre,311,789,1100,42350.00
2023,Noviembre,350,316,666,32411.00
2023,Diciembre,255,2145,2400,85236.00
2024,Enero,125,351,476,26971.00
2024,Febrero,420,214,634,29417.00
2024,Marzo,339,447,786,35132.00
2024,Abril,285,234,519,33373.00
2024,Mayo,450,361,811,31989.00
